epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08814,2.61411,3.48498,1.92945,0.02524,0.16024,0.01785,0.0087,2.32215,3.29878,1.62569,0,0,0
2,11.2668,2.62455,3.51337,1.96182,0.0272,0.17201,0.01964,0.0101,2.30408,3.30251,1.60197,1.62574e-05,1.62574e-05,1.62574e-05
3,14.6996,2.65547,3.57249,1.87207,0.03127,0.20198,0.02292,0.01086,2.25296,3.31759,1.57967,3.16897e-05,3.16897e-05,3.16897e-05
4,17.9196,2.53856,3.56998,1.80034,0.0331,0.22006,0.02514,0.01161,2.16888,3.32189,1.5487,4.62968e-05,4.62968e-05,4.62968e-05
5,21.4031,2.32021,3.44021,1.7683,0.04433,0.29766,0.03981,0.01874,2.09854,3.34777,1.51526,6.00787e-05,6.00787e-05,6.00787e-05
6,24.5431,2.26252,3.37987,1.77244,0.04822,0.32147,0.0493,0.02281,2.01288,3.38185,1.4978,7.30354e-05,7.30354e-05,7.30354e-05
7,27.7572,2.08278,3.36842,1.68076,0.05665,0.37498,0.06391,0.02986,1.91583,3.40418,1.47345,8.5167e-05,8.5167e-05,8.5167e-05
8,31.2259,2.05544,3.42309,1.59229,0.06076,0.39865,0.07504,0.03294,1.86031,3.42866,1.4559,9.64735e-05,9.64735e-05,9.64735e-05
9,34.4252,1.8148,3.2507,1.47531,0.06573,0.43395,0.07692,0.03605,1.80221,3.44355,1.43458,0.000106955,0.000106955,0.000106955
10,37.5577,1.82921,3.27368,1.41939,0.068,0.46378,0.08537,0.04247,1.71072,3.44224,1.38359,0.000116611,0.000116611,0.000116611
11,40.7913,1.75042,3.16644,1.41487,0.07282,0.50539,0.09749,0.04876,1.65129,3.43781,1.34562,0.000125442,0.000125442,0.000125442
12,43.8971,1.70308,3.08778,1.40878,0.08575,0.60035,0.13426,0.06323,1.59102,3.41431,1.29296,0.000133448,0.000133448,0.000133448
13,47.8552,1.6751,3.10793,1.36469,0.08807,0.62388,0.14348,0.06934,1.51413,3.38392,1.24733,0.000140628,0.000140628,0.000140628
14,51.4295,1.65332,2.89755,1.37786,0.09128,0.65358,0.15352,0.07543,1.46184,3.34465,1.20845,0.000146984,0.000146984,0.000146984
15,54.5475,1.51071,2.72565,1.29332,0.09277,0.6652,0.17066,0.0838,1.45041,3.3078,1.18753,0.000152514,0.000152514,0.000152514
16,58.0907,1.55822,2.74896,1.33753,0.08964,0.64685,0.159,0.08692,1.42369,3.27798,1.17045,0.000157219,0.000157219,0.000157219
17,62.2057,1.60568,2.79786,1.30249,0.09071,0.65301,0.1772,0.09218,1.40895,3.23353,1.15692,0.000161099,0.000161099,0.000161099
18,65.2724,1.4503,2.54669,1.26014,0.09071,0.65301,0.1772,0.09218,1.40895,3.23353,1.15692,0.000164154,0.000164154,0.000164154
19,68.5562,1.56975,2.58675,1.22421,0.09338,0.67123,0.1853,0.09404,1.37789,3.18466,1.13803,0.000166383,0.000166383,0.000166383
20,72.0247,1.45188,2.19696,1.27461,0.09338,0.67123,0.1853,0.09404,1.37789,3.18466,1.13803,0.000167788,0.000167788,0.000167788
21,76.2222,1.58609,2.51578,1.27148,0.09335,0.67108,0.18186,0.09985,1.35344,3.12865,1.13057,0.000168367,0.000168367,0.000168367
22,79.3461,1.48371,2.33877,1.27021,0.09335,0.67108,0.18186,0.09985,1.35344,3.12865,1.13057,0.000168121,0.000168121,0.000168121
23,82.8119,1.37241,2.28814,1.21942,0.09742,0.70078,0.1971,0.10585,1.3493,3.07233,1.12844,0.00016705,0.00016705,0.00016705
24,86.3364,1.51135,2.3436,1.25362,0.09742,0.70078,0.1971,0.10585,1.3493,3.07233,1.12844,0.000165154,0.000165154,0.000165154
25,89.697,1.41418,2.24072,1.21918,0.09413,0.67682,0.21259,0.11322,1.34501,3.01965,1.12672,0.000162432,0.000162432,0.000162432
26,93.1974,1.48454,2.20082,1.2072,0.09413,0.67682,0.21259,0.11322,1.34501,3.01965,1.12672,0.000158886,0.000158886,0.000158886
27,97.5516,1.48589,2.26789,1.27209,0.10057,0.71928,0.23284,0.12755,1.32326,2.97317,1.11679,0.000154514,0.000154514,0.000154514
28,101.127,1.36447,2.05834,1.25846,0.10057,0.71928,0.23284,0.12755,1.32326,2.97317,1.11679,0.000149317,0.000149317,0.000149317
29,105.246,1.38894,2.12505,1.22813,0.10658,0.76088,0.25381,0.14074,1.31129,2.93969,1.11709,0.000143295,0.000143295,0.000143295
30,108.877,1.48303,2.16255,1.22963,0.10658,0.76088,0.25381,0.14074,1.31129,2.93969,1.11709,0.000136448,0.000136448,0.000136448
31,112.548,1.43097,1.83801,1.19362,0.1102,0.78483,0.28145,0.16136,1.30282,2.90846,1.123,0.000128776,0.000128776,0.000128776
32,115.691,1.35712,1.80068,1.18748,0.1102,0.78483,0.28145,0.16136,1.30282,2.90846,1.123,0.000120278,0.000120278,0.000120278
33,119.845,1.41554,1.84618,1.17689,0.11233,0.79702,0.32645,0.18532,1.28836,2.88328,1.12339,0.000110956,0.000110956,0.000110956
34,123.027,1.31224,1.83675,1.18384,0.11233,0.79702,0.32645,0.18532,1.28836,2.88328,1.12339,0.000100808,0.000100808,0.000100808
35,126.254,1.36503,1.78201,1.18657,0.11404,0.80907,0.36083,0.19919,1.29023,2.8538,1.12216,8.98346e-05,8.98346e-05,8.98346e-05
36,129.639,1.50515,1.86167,1.20237,0.11404,0.80907,0.36083,0.19919,1.29023,2.8538,1.12216,7.80364e-05,7.80364e-05,7.80364e-05
37,132.845,1.33428,1.72633,1.13119,0.11713,0.827,0.38477,0.21452,1.2819,2.81672,1.11952,6.54131e-05,6.54131e-05,6.54131e-05
38,135.881,1.34954,1.70697,1.11527,0.11713,0.827,0.38477,0.21452,1.2819,2.81672,1.11952,5.19646e-05,5.19646e-05,5.19646e-05
39,139.982,1.30324,1.75044,1.20536,0.1202,0.84507,0.41537,0.22889,1.27373,2.7805,1.11726,3.76909e-05,3.76909e-05,3.76909e-05
40,143.774,1.4433,1.77058,1.18874,0.1202,0.84507,0.41537,0.22889,1.27373,2.7805,1.11726,2.2592e-05,2.2592e-05,2.2592e-05
