epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1738,2.59059,3.19631,2.14594,0.04164,0.24529,0.04218,0.01666,2.85516,3.07499,2.33738,0,0,0
2,168.365,2.60387,3.13066,2.20078,0.0756,0.17945,0.07009,0.02345,2.65087,2.87811,2.17906,1.62574e-05,1.62574e-05,1.62574e-05
3,238.544,2.45057,2.93787,1.98879,0.23813,0.18505,0.13577,0.05483,2.44368,2.48095,1.9939,3.16897e-05,3.16897e-05,3.16897e-05
4,310.793,2.12964,2.51668,1.74934,0.36119,0.27987,0.21907,0.09009,2.19713,2.47516,1.78841,4.62968e-05,4.62968e-05,4.62968e-05
5,390.571,1.79016,2.20213,1.63665,0.41793,0.45677,0.30657,0.13251,1.88149,3.27216,1.60562,6.00787e-05,6.00787e-05,6.00787e-05
6,489.09,1.60641,1.88011,1.55873,0.30986,0.57505,0.35672,0.16578,1.64929,3.07978,1.5009,7.30354e-05,7.30354e-05,7.30354e-05
7,584.888,1.49553,1.82451,1.49658,0.41736,0.47137,0.38792,0.18574,1.54388,2.74235,1.43576,8.5167e-05,8.5167e-05,8.5167e-05
8,695.778,1.48255,1.75436,1.42663,0.29135,0.60404,0.38849,0.19018,1.45855,3.31864,1.37203,9.64735e-05,9.64735e-05,9.64735e-05
9,782.555,1.22076,1.47703,1.30593,0.40444,0.49674,0.43146,0.22674,1.43605,2.64228,1.35215,0.000106955,0.000106955,0.000106955
10,861.538,1.26233,1.47605,1.28293,0.39469,0.53019,0.45326,0.24969,1.42029,1.94815,1.35164,0.000116611,0.000116611,0.000116611
11,958.307,1.13492,1.35095,1.25799,0.39926,0.56017,0.46704,0.26418,1.42394,1.9383,1.39187,0.000125442,0.000125442,0.000125442
12,1066.35,1.18049,1.38796,1.30382,0.40674,0.59759,0.52122,0.2997,1.35395,2.24278,1.35573,0.000133448,0.000133448,0.000133448
13,1141.51,1.13682,1.29854,1.2442,0.41314,0.59431,0.53597,0.31956,1.3045,3.16383,1.32183,0.000140628,0.000140628,0.000140628
14,1241.89,1.1716,1.35569,1.28681,0.45121,0.63905,0.59413,0.35176,1.2765,2.76865,1.31434,0.000146984,0.000146984,0.000146984
15,1310.15,1.18176,1.25532,1.28547,0.4223,0.58172,0.60594,0.35558,1.26124,1.91096,1.32198,0.000152514,0.000152514,0.000152514
16,1666.52,1.15038,1.22209,1.26344,0.46432,0.68563,0.60177,0.3487,1.23726,1.83499,1.31586,0.000157219,0.000157219,0.000157219
17,1803.06,1.19375,1.29996,1.22865,0.51993,0.57279,0.58664,0.34675,1.25035,2.12666,1.31885,0.000161099,0.000161099,0.000161099
